project,date,num_commits
Hadoop-BAM,2015-05-08,1
Hadoop-BAM,2015-10-21,2
Hadoop-BAM,2015-10-23,1
Hadoop-BAM,2015-11-06,1
Hadoop-BAM,2015-11-13,1
Hadoop-BAM,2015-11-23,1
Hadoop-BAM,2015-11-24,1
Hadoop-BAM,2015-11-30,1
Hadoop-BAM,2015-12-10,2
Hadoop-BAM,2015-12-11,1
Hadoop-BAM,2015-12-14,1
Hadoop-BAM,2016-01-05,2
Hadoop-BAM,2016-01-07,1
Hadoop-BAM,2016-01-18,1
Hadoop-BAM,2016-01-19,2
Hadoop-BAM,2016-01-27,1
Hadoop-BAM,2016-01-28,1
Hadoop-BAM,2016-02-01,2
Hadoop-BAM,2016-02-04,1
Hadoop-BAM,2016-02-10,2
Hadoop-BAM,2016-02-23,1
Hadoop-BAM,2016-02-29,1
Hadoop-BAM,2016-03-01,3
Hadoop-BAM,2016-03-03,2
Hadoop-BAM,2016-03-14,1
Hadoop-BAM,2016-03-29,1
Hadoop-BAM,2016-03-30,1
Hadoop-BAM,2016-03-31,1
Hadoop-BAM,2016-04-01,1
Hadoop-BAM,2016-04-03,1
Hadoop-BAM,2016-04-04,1
Hadoop-BAM,2016-04-14,1
Hadoop-BAM,2016-04-15,1
Hadoop-BAM,2016-04-18,1
Hadoop-BAM,2016-04-20,2
Hadoop-BAM,2016-04-21,3
Hadoop-BAM,2016-04-25,1
Hadoop-BAM,2016-04-26,1
Hadoop-BAM,2016-04-27,2
Hadoop-BAM,2016-05-03,1
Hadoop-BAM,2016-05-05,2
Hadoop-BAM,2016-05-13,1
Hadoop-BAM,2016-05-17,1
Hadoop-BAM,2016-05-18,4
Hadoop-BAM,2016-05-31,1
Hadoop-BAM,2016-06-07,1
Hadoop-BAM,2016-06-10,1
Hadoop-BAM,2016-06-13,1
Hadoop-BAM,2016-06-14,2
Hadoop-BAM,2016-06-28,1
Hadoop-BAM,2016-06-30,5
Hadoop-BAM,2016-07-07,1
Hadoop-BAM,2016-08-04,1
Hadoop-BAM,2016-08-16,1
Hadoop-BAM,2016-08-18,1
Hadoop-BAM,2016-08-23,1
Hadoop-BAM,2016-08-30,2
Hadoop-BAM,2016-09-09,3
Hadoop-BAM,2016-09-13,1
Hadoop-BAM,2016-09-21,1
Hadoop-BAM,2016-10-20,1
Hadoop-BAM,2016-11-02,1
Hadoop-BAM,2016-11-03,4
Hadoop-BAM,2016-12-19,1
Hadoop-BAM,2017-01-04,1
Hadoop-BAM,2017-01-10,1
Hadoop-BAM,2017-01-12,1
Hadoop-BAM,2017-02-22,1
Hadoop-BAM,2017-02-23,4
Hadoop-BAM,2017-03-20,1
Hadoop-BAM,2017-04-13,3
Hadoop-BAM,2017-05-05,1
Hadoop-BAM,2017-07-25,1
Hadoop-BAM,2017-07-28,1
Hadoop-BAM,2017-08-15,1
Hadoop-BAM,2017-08-23,1
Hadoop-BAM,2017-08-24,6
