project,date,num_commits
1-million-trees,2019-12-12,1
1-million-trees,2020-01-08,2
1-million-trees,2020-01-09,1
1-million-trees,2020-01-15,2
1-million-trees,2020-01-16,11
1-million-trees,2020-01-17,4
1-million-trees,2020-01-20,2
1-million-trees,2020-01-22,2
1-million-trees,2020-02-10,5
8-bit-computer,2023-02-04,3
8-bit-computer,2023-02-05,1
8-bit-computer,2023-02-08,4
8-bit-computer,2023-02-10,5
aboutme,2010-10-25,1
alhambra,2011-11-25,1
alhambra,2019-11-26,1
apportionment,2012-07-16,1
apportionment,2012-12-09,2
apportionment,2025-06-01,1
ardubat,2024-12-21,1
array-api-tests,2022-02-24,1
array-api-tests-dask,2022-02-24,1
array-api-tests-op-art,2022-02-24,1
array-tracker,2023-02-23,1
articles,2011-11-25,1
atomiclisp,2011-11-25,1
barry,2022-05-05,6
barry,2022-05-06,3
barry,2022-05-07,4
barry,2022-05-08,2
barry,2022-05-09,2
barry,2022-05-10,5
barry,2022-05-11,3
barry,2022-05-12,4
barry,2022-05-13,3
barry,2022-05-15,2
barry,2022-05-16,2
barry,2022-05-18,5
barry,2022-05-19,14
barry,2022-05-20,8
barry,2022-05-21,4
barry,2022-05-22,1
barry,2022-05-23,1
barry,2022-05-25,2
barry,2022-05-26,6
barry,2022-05-27,6
barry,2022-05-28,2
barry,2022-05-29,14
barry,2022-05-30,24
barry,2022-05-31,11
barry,2022-06-06,11
barry,2022-06-07,22
barry,2022-06-08,20
barry,2022-06-09,11
barry,2022-06-10,13
barry,2022-06-11,16
barry,2022-06-12,1
barry,2022-06-13,9
barry,2022-06-14,2
barry,2022-06-15,5
barry,2022-06-17,4
barry,2022-06-18,13
barry,2022-06-19,5
barry,2022-06-21,1
barry,2022-06-22,3
barry,2022-06-23,9
barry,2022-06-24,5
barry,2022-06-25,1
barry,2022-06-26,5
barry,2022-06-27,19
barry,2022-06-28,8
barry,2022-06-29,5
barry,2022-06-30,5
barry,2022-07-03,2
barry,2022-07-04,8
barry,2022-07-05,5
barry,2022-07-07,8
barry,2022-07-08,3
barry,2022-07-10,1
barry,2022-07-11,16
barry,2022-07-12,8
barry,2022-07-13,8
barry,2022-07-14,16
barry,2022-07-15,9
barry,2022-07-16,4
barry,2022-07-17,5
barry,2022-07-18,4
barry,2022-07-22,1
barry,2022-08-02,7
barry,2022-08-03,15
barry,2022-08-04,4
barry,2022-08-05,3
barry,2022-08-06,8
barry,2022-08-07,1
barry,2022-08-08,2
barry,2022-08-12,10
barry,2022-08-13,15
barry,2022-08-14,11
barry,2022-08-15,6
barry,2022-08-16,10
barry,2022-08-17,8
barry,2022-08-18,2
barry,2022-08-21,6
barry,2022-08-22,22
barry,2022-08-23,12
barry,2022-08-24,7
barry,2022-08-25,4
barry,2022-08-28,4
barry,2022-08-29,2
barry,2022-08-31,3
barry,2022-09-01,4
barry,2022-09-02,4
barry,2022-09-03,19
barry,2022-09-04,11
barry,2022-09-05,30
barry,2022-09-06,8
barry,2022-09-07,3
barry,2022-09-09,3
barry,2022-09-10,6
barry,2022-09-11,3
barry,2022-09-12,10
barry,2022-09-13,8
barry,2022-09-14,2
barry,2022-09-15,1
barry,2022-09-22,3
barry,2022-09-23,2
barry,2022-09-24,1
barry,2022-09-25,4
barry,2022-09-26,1
barry,2022-09-27,4
barry,2022-09-29,2
barry,2022-09-30,6
barry,2022-10-03,5
barry,2022-10-04,6
barry,2022-10-05,1
barry,2022-10-07,2
barry,2022-10-16,3
barry,2022-10-17,2
barry,2022-10-19,2
barry,2022-10-20,2
barry,2022-10-21,2
barry,2022-10-31,5
barry,2022-11-03,2
barry,2022-11-24,1
barry,2022-12-11,1
barry-original,2022-02-11,5
barry-original,2022-02-12,20
barry-original,2022-02-13,10
barry-original,2022-02-16,1
barry-original,2022-02-17,7
barry-original,2022-02-20,5
barry-original,2022-02-23,2
barry-original,2022-03-27,4
barry-original,2022-03-29,4
barry-original,2022-04-01,1
barry-original,2022-04-22,6
barry-original,2022-04-23,23
barry-original,2022-04-24,6
barry-original,2022-04-25,9
barry-original,2022-04-26,3
barry-original,2022-04-27,10
barry-original,2022-04-28,12
barry-original,2022-04-29,14
barry-original,2022-04-30,8
barry-original,2022-05-01,11
barry-original,2022-05-02,11
barry-original,2022-05-03,9
barry-original,2022-05-04,2
benford,2011-11-25,1
berllan-electricity,2022-09-17,5
berllan-electricity,2022-09-18,3
