project,local_git,github
1-million-trees,Y,Y
23andme-impute,Y,Y
8-bit-computer,Y,Y
aboutme,Y,N
alhambra,Y,Y
apportionment,Y,Y
ardubat,Y,Y
Arduino_SMC,Y,Y
array-api-tests,Y,Y
array-api-tests-dask,Y,Y
array-api-tests-op-art,Y,Y
array-tracker,Y,N
articles,Y,Y
atomiclisp,Y,Y
autotune-docker,N,N
badge-2024-software,Y,Y
barry,Y,Y
barry-original,Y,N
bat-recordings,N,N
benford,Y,Y
berllan-electricity,Y,Y
berllan-network,Y,N
binarypi,Y,Y
birdcage,Y,Y
birthday-roots,Y,Y
blockclock,Y,Y
blockclock-matrix,Y,N
blockclock-sweep,N,N
bolus-calc,Y,N
carbon-footprint,N,N
chernoff,Y,Y
chess,N,N
chinesechequers,Y,Y
core,Y,Y
core-war,N,N
covid-19,Y,N
covid-19-uk-data,Y,Y
crick-archive-catalog,N,N
crick-parking,Y,Y
crick1881,Y,N
cubed-async,N,N
cubesum,Y,Y
d3troit,Y,Y
dask,Y,Y
dask-cloud-gpu,Y,N
dask-executor-scheduler,Y,Y
datashader,Y,Y
datashader-leaflet,Y,N
datavision,Y,Y
datavision-code,Y,Y
david,Y,Y
dboard,Y,Y
dboard-js,Y,N
diabetes-site-rotation,Y,N
diffdiff,Y,Y
dusk,Y,Y
earth-moon-game,Y,Y
edge-detection,Y,N
egg-construction,Y,Y
egg-fitting,Y,N
enigma,Y,N
facebender,Y,Y
false-summits,Y,Y
ffawyddog.com,Y,Y
freeloader,Y,N
futoshiki,Y,N
futoshiki-hints,Y,Y
ga,Y,Y
gaussian-primes,Y,Y
ge-2024,Y,Y
genome_Tom_White_v4_Full_20180302090932.zip,N,N
guac,Y,Y
gutted,Y,N
hadoopbook.com,Y,Y
heightcharts,Y,N
hla-prs-toolkit,Y,N
house-hunting,N,N
how-far-away-is-the-sea,Y,Y
hyperbolic,Y,Y
inaturalist-datashader-map,Y,Y
inflector,Y,Y
ingredient-phrase-tagger,Y,Y
ingreedy-data,Y,Y
ingreedy-js,Y,Y
ingreedy-model,Y,N
ingreedy-service,Y,N
ingreedy-test,Y,N
ingreedy-v0,Y,N
ingreedy-visualization,Y,N
ingreedy-word2vec,N,N
interlocking-cube,Y,N
inversions,Y,Y
isitdayornight,Y,Y
jamie-oliver-recipes,Y,N
jekyll-website,N,N
knitting-squares,Y,N
l-game,Y,N
l-systems,Y,Y
leaning-chairs,Y,Y
leprechauns,N,N
leveltheplayingfield,Y,Y
leveltheplayingfieldchs,Y,N
libre-nightscout-uploader,Y,Y
llangattock-place-plan,Y,Y
longdiary,N,N
longview,Y,Y
lottie-numbers,N,N
mackerel,N,N
mandelbrot-1989,Y,Y
mappix,Y,Y
mastermind,Y,Y
mdvtool,Y,Y
metoffice_ec2,Y,Y
most-beautiful-formula,Y,Y
nd3,Y,N
novice,Y,Y
ns-api-uploader,Y,Y
ocf-experiments,N,N
old-projects,Y,N
onair,Y,N
op-art,Y,Y
op-art-dask,Y,N
OqtaDrive-uPCB-v1.2,Y,Y
OqtaDrive-uPCB-v1.2.zip,N,N
outguessing,Y,Y
outguessing-java,Y,N
pangrams,Y,Y
paper-folding,Y,N
percy-davies,N,N
periodic-table,Y,Y
plastic-numbers,Y,N
polarize,Y,Y
pong,Y,Y
predict_pv_yield_nwp,Y,Y
prisonersdilemma,Y,Y
programming-in-haskell,N,N
project-curation,Y,Y
projecteuler,Y,N
projects-workspace.Rproj,N,N
pyodide-curses,N,N
pyodide-curses-mar-2022,Y,N
pypaddle,Y,Y
ql,N,N
qltools,Y,Y
qs,Y,N
qxltools,Y,Y
read_thermal.py,Y,Y
rechunker-cloud-cli,Y,N
recursive-photos,Y,N
reflect,Y,Y
resampling,N,N
riemann-staircase,Y,Y
running-data,Y,N
saidak-primes,Y,Y
set,Y,N
set-game,Y,Y
shannon,N,N
shrdlu-old,N,N
shrdlu-src,Y,N
six-insect-game,Y,N
six-insect-game-ludii,N,N
spirals,Y,N
stats-wales-dataframe,Y,Y
superellipse,Y,Y
superfarmer,Y,N
t1d-genetic-risk-score,Y,Y
tennis-ball-parabola,Y,Y
thermal-camera,N,N
tidepool-cli-tools,Y,Y
tomwhite-hba1c,Y,N
tomwhite-website,N,N
tomwhite-website-new,Y,N
tomwhite.github.com,Y,Y
topple,Y,N
tournesol,Y,Y
tournesol-js,Y,N
tree-preservation-orders,N,N
vegbox,N,N
vstack-and-rechunk,Y,N
wattson-emulator,Y,N
webcam,Y,N
whats-for-dinner,N,N
wordcloud,N,N
workhouse,N,N
zx81,N,N
zx81-dat-tape-reader,Y,Y
zx81-frogging,Y,Y
zx81-javascript-emulator,Y,Y
zx81-not-only-30-programs,Y,Y
zx81-p-file-kaitai,N,N
zx81-p-file-viewer,N,N
zx81-refurb,Y,Y
zxspectrum,N,N
zxtext2p,Y,Y
